download-path|<path>|~/|Specifies the directory where podbeuter shall download the files to. Optionally, the placeholders "%n" (for the podcast feed's name) and "%h" (for the podcast feed's hostname) can be used to place downloads in a directory structure.|download-path "~/Downloads/%h/%n"
max-downloads|<number>|1|Specifies the maximum number of parallel downloads when automatic download is enabled.|max-downloads 3
player|<player command>|""|Specifies the player that shall be used for playback of downloaded files.|player "mp3blaster"
